,survived,pclass,sex,age,sibsp,parch,fare,embarked,class,who,adult_male,deck,embark_town,alive,alone,nEW
0,0,3,male,22.0,1,0,7.25,S,Third,man,True,,Southampton,no,False,MALE
1,1,1,female,38.0,1,0,71.2833,C,First,woman,False,C,Cherbourg,yes,False,FEMALE
2,1,3,female,26.0,0,0,7.925,S,Third,woman,False,,Southampton,yes,True,FEMALE
3,1,1,female,35.0,1,0,53.1,S,First,woman,False,C,Southampton,yes,False,FEMALE
4,0,3,male,35.0,0,0,8.05,S,Third,man,True,,Southampton,no,True,MALE
5,0,3,male,29.69911764705882,0,0,8.4583,Q,Third,man,True,,Queenstown,no,True,MALE
6,0,1,male,54.0,0,0,51.8625,S,First,man,True,E,Southampton,no,True,MALE
7,0,3,male,2.0,3,1,21.075,S,Third,child,False,,Southampton,no,False,MALE
8,1,3,female,27.0,0,2,11.1333,S,Third,woman,False,,Southampton,yes,False,FEMALE
9,1,2,female,14.0,1,0,30.0708,C,Second,child,False,,Cherbourg,yes,False,FEMALE
10,1,3,female,4.0,1,1,16.7,S,Third,child,False,G,Southampton,yes,False,FEMALE
11,1,1,female,58.0,0,0,26.55,S,First,woman,False,C,Southampton,yes,True,FEMALE
12,0,3,male,20.0,0,0,8.05,S,Third,man,True,,Southampton,no,True,MALE
13,0,3,male,39.0,1,5,31.275,S,Third,man,True,,Southampton,no,False,MALE
14,0,3,female,14.0,0,0,7.8542,S,Third,child,False,,Southampton,no,True,FEMALE
15,1,2,female,55.0,0,0,16.0,S,Second,woman,False,,Southampton,yes,True,FEMALE
16,0,3,male,2.0,4,1,29.125,Q,Third,child,False,,Queenstown,no,False,MALE
17,1,2,male,29.69911764705882,0,0,13.0,S,Second,man,True,,Southampton,yes,True,MALE
18,0,3,female,31.0,1,0,18.0,S,Third,woman,False,,Southampton,no,False,FEMALE
19,1,3,female,29.69911764705882,0,0,7.225,C,Third,woman,False,,Cherbourg,yes,True,FEMALE
20,0,2,male,35.0,0,0,26.0,S,Second,man,True,,Southampton,no,True,MALE
21,1,2,male,34.0,0,0,13.0,S,Second,man,True,D,Southampton,yes,True,MALE
22,1,3,female,15.0,0,0,8.0292,Q,Third,child,False,,Queenstown,yes,True,FEMALE
23,1,1,male,28.0,0,0,35.5,S,First,man,True,A,Southampton,yes,True,MALE
24,0,3,female,8.0,3,1,21.075,S,Third,child,False,,Southampton,no,False,FEMALE
25,1,3,female,38.0,1,5,31.3875,S,Third,woman,False,,Southampton,yes,False,FEMALE
26,0,3,male,29.69911764705882,0,0,7.225,C,Third,man,True,,Cherbourg,no,True,MALE
27,0,1,male,19.0,3,2,263.0,S,First,man,True,C,Southampton,no,False,MALE
28,1,3,female,29.69911764705882,0,0,7.8792,Q,Third,woman,False,,Queenstown,yes,True,FEMALE
29,0,3,male,29.69911764705882,0,0,7.8958,S,Third,man,True,,Southampton,no,True,MALE
30,0,1,male,40.0,0,0,27.7208,C,First,man,True,,Cherbourg,no,True,MALE
31,1,1,female,29.69911764705882,1,0,146.5208,C,First,woman,False,B,Cherbourg,yes,False,FEMALE
32,1,3,female,29.69911764705882,0,0,7.75,Q,Third,woman,False,,Queenstown,yes,True,FEMALE
33,0,2,male,66.0,0,0,10.5,S,Second,man,True,,Southampton,no,True,MALE
34,0,1,male,28.0,1,0,82.1708,C,First,man,True,,Cherbourg,no,False,MALE
35,0,1,male,42.0,1,0,52.0,S,First,man,True,,Southampton,no,False,MALE
36,1,3,male,29.69911764705882,0,0,7.2292,C,Third,man,True,,Cherbourg,yes,True,MALE
37,0,3,male,21.0,0,0,8.05,S,Third,man,True,,Southampton,no,True,MALE
38,0,3,female,18.0,2,0,18.0,S,Third,woman,False,,Southampton,no,False,FEMALE
39,1,3,female,14.0,1,0,11.2417,C,Third,child,False,,Cherbourg,yes,False,FEMALE
40,0,3,female,40.0,1,0,9.475,S,Third,woman,False,,Southampton,no,False,FEMALE
41,0,2,female,27.0,1,0,21.0,S,Second,woman,False,,Southampton,no,False,FEMALE
42,0,3,male,29.69911764705882,0,0,7.8958,C,Third,man,True,,Cherbourg,no,True,MALE
43,1,2,female,3.0,1,2,41.5792,C,Second,child,False,,Cherbourg,yes,False,FEMALE
44,1,3,female,19.0,0,0,7.8792,Q,Third,woman,False,,Queenstown,yes,True,FEMALE
45,0,3,male,29.69911764705882,0,0,8.05,S,Third,man,True,,Southampton,no,True,MALE
46,0,3,male,29.69911764705882,1,0,15.5,Q,Third,man,True,,Queenstown,no,False,MALE
47,1,3,female,29.69911764705882,0,0,7.75,Q,Third,woman,False,,Queenstown,yes,True,FEMALE
48,0,3,male,29.69911764705882,2,0,21.6792,C,Third,man,True,,Cherbourg,no,False,MALE
49,0,3,female,18.0,1,0,17.8,S,Third,woman,False,,Southampton,no,False,FEMALE
50,0,3,male,7.0,4,1,39.6875,S,Third,child,False,,Southampton,no,False,MALE
51,0,3,male,21.0,0,0,7.8,S,Third,man,True,,Southampton,no,True,MALE
52,1,1,female,49.0,1,0,76.7292,C,First,woman,False,D,Cherbourg,yes,False,FEMALE
53,1,2,female,29.0,1,0,26.0,S,Second,woman,False,,Southampton,yes,False,FEMALE
54,0,1,male,65.0,0,1,61.9792,C,First,man,True,B,Cherbourg,no,False,MALE
55,1,1,male,29.69911764705882,0,0,35.5,S,First,man,True,C,Southampton,yes,True,MALE
56,1,2,female,21.0,0,0,10.5,S,Second,woman,False,,Southampton,yes,True,FEMALE
57,0,3,male,28.5,0,0,7.2292,C,Third,man,True,,Cherbourg,no,True,MALE
58,1,2,female,5.0,1,2,27.75,S,Second,child,False,,Southampton,yes,False,FEMALE
59,0,3,male,11.0,5,2,46.9,S,Third,child,False,,Southampton,no,False,MALE
60,0,3,male,22.0,0,0,7.2292,C,Third,man,True,,Cherbourg,no,True,MALE
61,1,1,female,38.0,0,0,80.0,,First,woman,False,B,,yes,True,FEMALE
62,0,1,male,45.0,1,0,83.475,S,First,man,True,C,Southampton,no,False,MALE
63,0,3,male,4.0,3,2,27.9,S,Third,child,False,,Southampton,no,False,MALE
64,0,1,male,29.69911764705882,0,0,27.7208,C,First,man,True,,Cherbourg,no,True,MALE
65,1,3,male,29.69911764705882,1,1,15.2458,C,Third,man,True,,Cherbourg,yes,False,MALE
66,1,2,female,29.0,0,0,10.5,S,Second,woman,False,F,Southampton,yes,True,FEMALE
67,0,3,male,19.0,0,0,8.1583,S,Third,man,True,,Southampton,no,True,MALE
68,1,3,female,17.0,4,2,7.925,S,Third,woman,False,,Southampton,yes,False,FEMALE
69,0,3,male,26.0,2,0,8.6625,S,Third,man,True,,Southampton,no,False,MALE
70,0,2,male,32.0,0,0,10.5,S,Second,man,True,,Southampton,no,True,MALE
71,0,3,female,16.0,5,2,46.9,S,Third,woman,False,,Southampton,no,False,FEMALE
72,0,2,male,21.0,0,0,73.5,S,Second,man,True,,Southampton,no,True,MALE
73,0,3,male,26.0,1,0,14.4542,C,Third,man,True,,Cherbourg,no,False,MALE
74,1,3,male,32.0,0,0,56.4958,S,Third,man,True,,Southampton,yes,True,MALE
75,0,3,male,25.0,0,0,7.65,S,Third,man,True,F,Southampton,no,True,MALE
76,0,3,male,29.69911764705882,0,0,7.8958,S,Third,man,True,,Southampton,no,True,MALE
77,0,3,male,29.69911764705882,0,0,8.05,S,Third,man,True,,Southampton,no,True,MALE
78,1,2,male,0.83,0,2,29.0,S,Second,child,False,,Southampton,yes,False,MALE
79,1,3,female,30.0,0,0,12.475,S,Third,woman,False,,Southampton,yes,True,FEMALE
80,0,3,male,22.0,0,0,9.0,S,Third,man,True,,Southampton,no,True,MALE
81,1,3,male,29.0,0,0,9.5,S,Third,man,True,,Southampton,yes,True,MALE
82,1,3,female,29.69911764705882,0,0,7.7875,Q,Third,woman,False,,Queenstown,yes,True,FEMALE
83,0,1,male,28.0,0,0,47.1,S,First,man,True,,Southampton,no,True,MALE
84,1,2,female,17.0,0,0,10.5,S,Second,woman,False,,Southampton,yes,True,FEMALE
85,1,3,female,33.0,3,0,15.85,S,Third,woman,False,,Southampton,yes,False,FEMALE
86,0,3,male,16.0,1,3,34.375,S,Third,man,True,,Southampton,no,False,MALE
87,0,3,male,29.69911764705882,0,0,8.05,S,Third,man,True,,Southampton,no,True,MALE
88,1,1,female,23.0,3,2,263.0,S,First,woman,False,C,Southampton,yes,False,FEMALE
89,0,3,male,24.0,0,0,8.05,S,Third,man,True,,Southampton,no,True,MALE
90,0,3,male,29.0,0,0,8.05,S,Third,man,True,,Southampton,no,True,MALE
91,0,3,male,20.0,0,0,7.8542,S,Third,man,True,,Southampton,no,True,MALE
92,0,1,male,46.0,1,0,61.175,S,First,man,True,E,Southampton,no,False,MALE
93,0,3,male,26.0,1,2,20.575,S,Third,man,True,,Southampton,no,False,MALE
94,0,3,male,59.0,0,0,7.25,S,Third,man,True,,Southampton,no,True,MALE
95,0,3,male,29.69911764705882,0,0,8.05,S,Third,man,True,,Southampton,no,True,MALE
96,0,1,male,71.0,0,0,34.6542,C,First,man,True,A,Cherbourg,no,True,MALE
97,1,1,male,23.0,0,1,63.3583,C,First,man,True,D,Cherbourg,yes,False,MALE
98,1,2,female,34.0,0,1,23.0,S,Second,woman,False,,Southampton,yes,False,FEMALE
99,0,2,male,34.0,1,0,26.0,S,Second,man,True,,Southampton,no,False,MALE
100,0,3,female,28.0,0,0,7.8958,S,Third,woman,False,,Southampton,no,True,FEMALE
101,0,3,male,29.69911764705882,0,0,7.8958,S,Third,man,True,,Southampton,no,True,MALE
102,0,1,male,21.0,0,1,77.2875,S,First,man,True,D,Southampton,no,False,MALE
103,0,3,male,33.0,0,0,8.6542,S,Third,man,True,,Southampton,no,True,MALE
104,0,3,male,37.0,2,0,7.925,S,Third,man,True,,Southampton,no,False,MALE
105,0,3,male,28.0,0,0,7.8958,S,Third,man,True,,Southampton,no,True,MALE
106,1,3,female,21.0,0,0,7.65,S,Third,woman,False,,Southampton,yes,True,FEMALE
107,1,3,male,29.69911764705882,0,0,7.775,S,Third,man,True,,Southampton,yes,True,MALE
108,0,3,male,38.0,0,0,7.8958,S,Third,man,True,,Southampton,no,True,MALE
109,1,3,female,29.69911764705882,1,0,24.15,Q,Third,woman,False,,Queenstown,yes,False,FEMALE
110,0,1,male,47.0,0,0,52.0,S,First,man,True,C,Southampton,no,True,MALE
111,0,3,female,14.5,1,0,14.4542,C,Third,child,False,,Cherbourg,no,False,FEMALE
112,0,3,male,22.0,0,0,8.05,S,Third,man,True,,Southampton,no,True,MALE
113,0,3,female,20.0,1,0,9.825,S,Third,woman,False,,Southampton,no,False,FEMALE
114,0,3,female,17.0,0,0,14.4583,C,Third,woman,False,,Cherbourg,no,True,FEMALE
115,0,3,male,21.0,0,0,7.925,S,Third,man,True,,Southampton,no,True,MALE
116,0,3,male,70.5,0,0,7.75,Q,Third,man,True,,Queenstown,no,True,MALE
117,0,2,male,29.0,1,0,21.0,S,Second,man,True,,Southampton,no,False,MALE
118,0,1,male,24.0,0,1,247.5208,C,First,man,True,B,Cherbourg,no,False,MALE
119,0,3,female,2.0,4,2,31.275,S,Third,child,False,,Southampton,no,False,FEMALE
120,0,2,male,21.0,2,0,73.5,S,Second,man,True,,Southampton,no,False,MALE
121,0,3,male,29.69911764705882,0,0,8.05,S,Third,man,True,,Southampton,no,True,MALE
122,0,2,male,32.5,1,0,30.0708,C,Second,man,True,,Cherbourg,no,False,MALE
123,1,2,female,32.5,0,0,13.0,S,Second,woman,False,E,Southampton,yes,True,FEMALE
124,0,1,male,54.0,0,1,77.2875,S,First,man,True,D,Southampton,no,False,MALE
125,1,3,male,12.0,1,0,11.2417,C,Third,child,False,,Cherbourg,yes,False,MALE
126,0,3,male,29.69911764705882,0,0,7.75,Q,Third,man,True,,Queenstown,no,True,MALE
127,1,3,male,24.0,0,0,7.1417,S,Third,man,True,,Southampton,yes,True,MALE
128,1,3,female,29.69911764705882,1,1,22.3583,C,Third,woman,False,F,Cherbourg,yes,False,FEMALE
129,0,3,male,45.0,0,0,6.975,S,Third,man,True,,Southampton,no,True,MALE
130,0,3,male,33.0,0,0,7.8958,C,Third,man,True,,Cherbourg,no,True,MALE
131,0,3,male,20.0,0,0,7.05,S,Third,man,True,,Southampton,no,True,MALE
132,0,3,female,47.0,1,0,14.5,S,Third,woman,False,,Southampton,no,False,FEMALE
133,1,2,female,29.0,1,0,26.0,S,Second,woman,False,,Southampton,yes,False,FEMALE
134,0,2,male,25.0,0,0,13.0,S,Second,man,True,,Southampton,no,True,MALE
135,0,2,male,23.0,0,0,15.0458,C,Second,man,True,,Cherbourg,no,True,MALE
136,1,1,female,19.0,0,2,26.2833,S,First,woman,False,D,Southampton,yes,False,FEMALE
137,0,1,male,37.0,1,0,53.1,S,First,man,True,C,Southampton,no,False,MALE
138,0,3,male,16.0,0,0,9.2167,S,Third,man,True,,Southampton,no,True,MALE
139,0,1,male,24.0,0,0,79.2,C,First,man,True,B,Cherbourg,no,True,MALE
140,0,3,female,29.69911764705882,0,2,15.2458,C,Third,woman,False,,Cherbourg,no,False,FEMALE
141,1,3,female,22.0,0,0,7.75,S,Third,woman,False,,Southampton,yes,True,FEMALE
142,1,3,female,24.0,1,0,15.85,S,Third,woman,False,,Southampton,yes,False,FEMALE
143,0,3,male,19.0,0,0,6.75,Q,Third,man,True,,Queenstown,no,True,MALE
144,0,2,male,18.0,0,0,11.5,S,Second,man,True,,Southampton,no,True,MALE
145,0,2,male,19.0,1,1,36.75,S,Second,man,True,,Southampton,no,False,MALE
146,1,3,male,27.0,0,0,7.7958,S,Third,man,True,,Southampton,yes,True,MALE
147,0,3,female,9.0,2,2,34.375,S,Third,child,False,,Southampton,no,False,FEMALE
148,0,2,male,36.5,0,2,26.0,S,Second,man,True,F,Southampton,no,False,MALE
149,0,2,male,42.0,0,0,13.0,S,Second,man,True,,Southampton,no,True,MALE
150,0,2,male,51.0,0,0,12.525,S,Second,man,True,,Southampton,no,True,MALE
151,1,1,female,22.0,1,0,66.6,S,First,woman,False,C,Southampton,yes,False,FEMALE
152,0,3,male,55.5,0,0,8.05,S,Third,man,True,,Southampton,no,True,MALE
153,0,3,male,40.5,0,2,14.5,S,Third,man,True,,Southampton,no,False,MALE
154,0,3,male,29.69911764705882,0,0,7.3125,S,Third,man,True,,Southampton,no,True,MALE
155,0,1,male,51.0,0,1,61.3792,C,First,man,True,,Cherbourg,no,False,MALE
156,1,3,female,16.0,0,0,7.7333,Q,Third,woman,False,,Queenstown,yes,True,FEMALE
157,0,3,male,30.0,0,0,8.05,S,Third,man,True,,Southampton,no,True,MALE
158,0,3,male,29.69911764705882,0,0,8.6625,S,Third,man,True,,Southampton,no,True,MALE
159,0,3,male,29.69911764705882,8,2,69.55,S,Third,man,True,,Southampton,no,False,MALE
160,0,3,male,44.0,0,1,16.1,S,Third,man,True,,Southampton,no,False,MALE
161,1,2,female,40.0,0,0,15.75,S,Second,woman,False,,Southampton,yes,True,FEMALE
162,0,3,male,26.0,0,0,7.775,S,Third,man,True,,Southampton,no,True,MALE
163,0,3,male,17.0,0,0,8.6625,S,Third,man,True,,Southampton,no,True,MALE
164,0,3,male,1.0,4,1,39.6875,S,Third,child,False,,Southampton,no,False,MALE
165,1,3,male,9.0,0,2,20.525,S,Third,child,False,,Southampton,yes,False,MALE
166,1,1,female,29.69911764705882,0,1,55.0,S,First,woman,False,E,Southampton,yes,False,FEMALE
167,0,3,female,45.0,1,4,27.9,S,Third,woman,False,,Southampton,no,False,FEMALE
168,0,1,male,29.69911764705882,0,0,25.925,S,First,man,True,,Southampton,no,True,MALE
169,0,3,male,28.0,0,0,56.4958,S,Third,man,True,,Southampton,no,True,MALE
170,0,1,male,61.0,0,0,33.5,S,First,man,True,B,Southampton,no,True,MALE
171,0,3,male,4.0,4,1,29.125,Q,Third,child,False,,Queenstown,no,False,MALE
172,1,3,female,1.0,1,1,11.1333,S,Third,child,False,,Southampton,yes,False,FEMALE
173,0,3,male,21.0,0,0,7.925,S,Third,man,True,,Southampton,no,True,MALE
174,0,1,male,56.0,0,0,30.6958,C,First,man,True,A,Cherbourg,no,True,MALE
175,0,3,male,18.0,1,1,7.8542,S,Third,man,True,,Southampton,no,False,MALE
176,0,3,male,29.69911764705882,3,1,25.4667,S,Third,man,True,,Southampton,no,False,MALE
177,0,1,female,50.0,0,0,28.7125,C,First,woman,False,C,Cherbourg,no,True,FEMALE
178,0,2,male,30.0,0,0,13.0,S,Second,man,True,,Southampton,no,True,MALE
179,0,3,male,36.0,0,0,0.0,S,Third,man,True,,Southampton,no,True,MALE
180,0,3,female,29.69911764705882,8,2,69.55,S,Third,woman,False,,Southampton,no,False,FEMALE
181,0,2,male,29.69911764705882,0,0,15.05,C,Second,man,True,,Cherbourg,no,True,MALE
182,0,3,male,9.0,4,2,31.3875,S,Third,child,False,,Southampton,no,False,MALE
183,1,2,male,1.0,2,1,39.0,S,Second,child,False,F,Southampton,yes,False,MALE
184,1,3,female,4.0,0,2,22.025,S,Third,child,False,,Southampton,yes,False,FEMALE
185,0,1,male,29.69911764705882,0,0,50.0,S,First,man,True,A,Southampton,no,True,MALE
186,1,3,female,29.69911764705882,1,0,15.5,Q,Third,woman,False,,Queenstown,yes,False,FEMALE
187,1,1,male,45.0,0,0,26.55,S,First,man,True,,Southampton,yes,True,MALE
188,0,3,male,40.0,1,1,15.5,Q,Third,man,True,,Queenstown,no,False,MALE
189,0,3,male,36.0,0,0,7.8958,S,Third,man,True,,Southampton,no,True,MALE
190,1,2,female,32.0,0,0,13.0,S,Second,woman,False,,Southampton,yes,True,FEMALE
191,0,2,male,19.0,0,0,13.0,S,Second,man,True,,Southampton,no,True,MALE
192,1,3,female,19.0,1,0,7.8542,S,Third,woman,False,,Southampton,yes,False,FEMALE
193,1,2,male,3.0,1,1,26.0,S,Second,child,False,F,Southampton,yes,False,MALE
194,1,1,female,44.0,0,0,27.7208,C,First,woman,False,B,Cherbourg,yes,True,FEMALE
195,1,1,female,58.0,0,0,146.5208,C,First,woman,False,B,Cherbourg,yes,True,FEMALE
196,0,3,male,29.69911764705882,0,0,7.75,Q,Third,man,True,,Queenstown,no,True,MALE
197,0,3,male,42.0,0,1,8.4042,S,Third,man,True,,Southampton,no,False,MALE
198,1,3,female,29.69911764705882,0,0,7.75,Q,Third,woman,False,,Queenstown,yes,True,FEMALE
199,0,2,female,24.0,0,0,13.0,S,Second,woman,False,,Southampton,no,True,FEMALE
200,0,3,male,28.0,0,0,9.5,S,Third,man,True,,Southampton,no,True,MALE
201,0,3,male,29.69911764705882,8,2,69.55,S,Third,man,True,,Southampton,no,False,MALE
202,0,3,male,34.0,0,0,6.4958,S,Third,man,True,,Southampton,no,True,MALE
203,0,3,male,45.5,0,0,7.225,C,Third,man,True,,Cherbourg,no,True,MALE
204,1,3,male,18.0,0,0,8.05,S,Third,man,True,,Southampton,yes,True,MALE
205,0,3,female,2.0,0,1,10.4625,S,Third,child,False,G,Southampton,no,False,FEMALE
206,0,3,male,32.0,1,0,15.85,S,Third,man,True,,Southampton,no,False,MALE
207,1,3,male,26.0,0,0,18.7875,C,Third,man,True,,Cherbourg,yes,True,MALE
208,1,3,female,16.0,0,0,7.75,Q,Third,woman,False,,Queenstown,yes,True,FEMALE
209,1,1,male,40.0,0,0,31.0,C,First,man,True,A,Cherbourg,yes,True,MALE
210,0,3,male,24.0,0,0,7.05,S,Third,man,True,,Southampton,no,True,MALE
211,1,2,female,35.0,0,0,21.0,S,Second,woman,False,,Southampton,yes,True,FEMALE
212,0,3,male,22.0,0,0,7.25,S,Third,man,True,,Southampton,no,True,MALE
213,0,2,male,30.0,0,0,13.0,S,Second,man,True,,Southampton,no,True,MALE
214,0,3,male,29.69911764705882,1,0,7.75,Q,Third,man,True,,Queenstown,no,False,MALE
215,1,1,female,31.0,1,0,113.275,C,First,woman,False,D,Cherbourg,yes,False,FEMALE
216,1,3,female,27.0,0,0,7.925,S,Third,woman,False,,Southampton,yes,True,FEMALE
217,0,2,male,42.0,1,0,27.0,S,Second,man,True,,Southampton,no,False,MALE
218,1,1,female,32.0,0,0,76.2917,C,First,woman,False,D,Cherbourg,yes,True,FEMALE
219,0,2,male,30.0,0,0,10.5,S,Second,man,True,,Southampton,no,True,MALE
220,1,3,male,16.0,0,0,8.05,S,Third,man,True,,Southampton,yes,True,MALE
221,0,2,male,27.0,0,0,13.0,S,Second,man,True,,Southampton,no,True,MALE
222,0,3,male,51.0,0,0,8.05,S,Third,man,True,,Southampton,no,True,MALE
