month,temperature,humidity,rainfall
84,2016-01-01,29.0,79,167.1
85,2016-02-01,27.7,84,289.6
86,2016-03-01,28.7,82,251.6
87,2016-04-01,29.0,80,235.1
88,2016-05-01,29.3,79,392.8
89,2016-06-01,28.6,80,174.0
90,2016-07-01,28.4,80,258.4
91,2016-08-01,28.4,75,100.7
92,2016-09-01,29.0,74,120.8
93,2016-10-01,28.5,79,501.7
94,2016-11-01,28.7,68,52.6
95,2016-12-01,28.0,77,132.4
96,2017-01-01,27.6,83,400.7
97,2017-02-01,27.7,82,257.6
98,2017-03-01,28.0,81,193.8
99,2017-04-01,28.9,81,283.2
100,2017-05-01,28.6,75,75.6
101,2017-06-01,28.1,77,53.0
102,2017-07-01,27.5,74,39.8
103,2017-08-01,27.3,71,0.0
104,2017-09-01,28.4,69,0.3
105,2017-10-01,29.8,69,83.0
106,2017-11-01,28.2,79,309.0
107,2017-12-01,27.1,80,427.3
108,2018-01-01,27.6,81,313.9
109,2018-02-01,27.2,80,528.5
110,2018-03-01,27.6,83,432.7
111,2018-04-01,29.0,84,269.5
112,2018-05-01,28.7,77,0.1
113,2018-06-01,27.9,75,77.2
114,2018-07-01,26.7,73,0.0
115,2018-08-01,26.7,71,0.3
116,2018-09-01,28.1,67,0.0
117,2018-10-01,29.4,65,0.0
118,2018-11-01,29.5,72,188.3
119,2018-12-01,29.0,77,286.5